status	MAGIC	WIZARDS	size_match	raw_match	normalized_match	mnemonic_match	magic_bytes	wizards_bytes	magic_instr	wizards_instr
mismatch	SOUNDp1:load_global_timbre	SOUNDp1:load_global_timbre	yes	no	no	no	191	191	86	87
mismatch	SOUNDp2:Audio_Init__WIP	SOUNDp2:Audio_Init__WIP	yes	no	no	no	1696	1696	612	610
mismatch	SOUNDp3:Play_Sound	SOUNDp3:Play_Sound	yes	no	no	no	861	861	347	349
mismatch	SOUNDp4:UU_SND_SetMIDIVol	SOUNDp4:Set_Music_Volume__STUB	yes	no	no	no	72	72	31	32
mismatch	SOUNDp5:UU_SND_GetMIDIVol	SOUNDp5:Get_Music_Volume__STUB	yes	no	no	no	55	55	23	23
mismatch	SOUNDp6:UU_SND_Silence	SOUNDp6:Stop_All_Sounds__STUB	yes	no	no	yes	100	100	35	35
mismatch	SOUNDp7:SND_Get_Seq_Status	SOUNDp7:Midi_Sequence_Status	yes	no	no	no	52	52	21	21
mismatch	SOUNDp8:Stop_Music__STUB	SOUNDp8:Stop_Music__STUB	yes	no	no	yes	125	125	42	42
mismatch	SOUNDp9:Audio_Uninit__STUB	SOUNDp9:Audio_Uninit__STUB	yes	no	no	yes	56	56	19	19
mismatch	SOUNDp10:UU_SND_LegacyFn	SOUNDp10:NX_UU_SND_LegacyFn	yes	no	no	yes	119	119	41	41
mismatch	SOUNDp11:BLASTER__board_ID	SOUNDp11:BLASTER__board_ID	yes	no	no	yes	322	322	132	132
mismatch	SOUNDp12:Audio_Error__STUB	SOUNDp12:Audio_Error__STUB	yes	no	no	no	181	181	80	80
mismatch	_AIL_p1:_find_proc	_AIL_p1:_find_proc	yes	no	no	yes	56	56	23	23
mismatch	_AIL_p3:_API_timer	_AIL_p3:_API_timer	yes	no	no	yes	209	209	68	68
mismatch	_AIL_p6:_hook_timer_process	_AIL_p6:_hook_timer_process	yes	no	no	yes	76	76	28	28
mismatch	_AIL_p7:_unhook_timer_proc	_AIL_p7:_unhook_timer_proc	yes	no	no	yes	48	48	19	19
mismatch	_AIL_p8:_set_PIT_divisor	_AIL_p8:_set_PIT_divisor	yes	no	no	yes	41	41	25	25
mismatch	_AIL_p9:_set_PIT_period	_AIL_p9:_set_PIT_period	yes	no	no	yes	42	42	23	23
mismatch	_AIL_p11:_program_timers	_AIL_p11:_program_timers	yes	no	no	yes	149	149	52	52
mismatch	_AIL_p15:_AIL_release_tmr_hnd	_AIL_p15:_AIL_release_tmr_hnd	yes	no	no	yes	73	73	35	35
mismatch	_AIL_p16:_AIL_release_all_tmrs	_AIL_p16:_AIL_release_all_tmrs	yes	no	no	no	30	30	19	20
mismatch	_AIL_p19:_AIL_stop_timer	_AIL_p19:_AIL_stop_timer	yes	no	no	yes	40	40	21	21
mismatch	_AIL_p20:_AIL_stop_all_timers	_AIL_p20:_AIL_stop_all_timers	yes	no	no	no	30	30	19	21
mismatch	_AIL_p21:_AIL_set_timer_prd	_AIL_p21:_AIL_set_timer_prd	yes	no	no	yes	85	85	35	35
mismatch	_AIL_p22:_AIL_set_timer_freq	_AIL_p22:_AIL_set_timer_freq	yes	no	no	yes	65	65	38	38
mismatch	_AIL_p25:_AIL_register_driver	_AIL_p25:_AIL_register_driver	yes	no	no	yes	227	227	71	71
mismatch	_AIL_p26:_AIL_release_drv_hnd	_AIL_p26:_AIL_release_drv_hnd	yes	no	no	yes	71	71	29	29
mismatch	_AIL_p27:_AIL_describe_driver	_AIL_p27:_AIL_describe_driver	yes	no	no	yes	38	38	20	20
mismatch	_AIL_p28:_AIL_detect_device	_AIL_p28:_AIL_detect_device	yes	no	no	no	6	6	2	7
mismatch	_AIL_p29:_AIL_init_driver	_AIL_p29:_AIL_init_driver	yes	no	no	yes	178	178	79	79
mismatch	_AIL_p30:_AIL_shutdown_drvr	_AIL_p30:_AIL_shutdown_drvr	yes	no	no	yes	51	51	21	21
mismatch	_AIL_p35:_AIL_play_VOC_file	_AIL_p35:_AIL_play_VOC_file	yes	no	no	yes	6	6	5	5
mismatch	_AIL_p38:_AIL_start_digi_play	_AIL_p38:_AIL_start_digital_playback	yes	no	yes	yes	6	6	3	3
mismatch	_AIL_p39:_AIL_stop_digi_play	_AIL_p39:_AIL_stop_digital_playback	yes	no	yes	yes	6	6	3	3
mismatch	_AIL_p47:_AIL_register_seq	_AIL_p47:_AIL_register_sequence	yes	no	yes	yes	6	6	7	7
mismatch	_AIL_p49:_AIL_t_cache_size	_AIL_p49:_AIL_default_timbre_cache_size	yes	no	yes	yes	6	6	3	3
mismatch	_AIL_p50:_AIL_define_t_cache	_AIL_p50:_AIL_define_timbre_cache	yes	no	yes	yes	6	6	5	5
mismatch	_AIL_p51:_AIL_timbre_req	_AIL_p51:_AIL_timbre_request	yes	no	yes	yes	6	6	4	4
mismatch	_AIL_p62:UU_AIL_set_rel_volume	_AIL_p62:_AIL_set_rel_volume	yes	no	yes	yes	6	6	6	6
mismatch	_AIL_p79:_AIL_unhook	_AIL_p79:_AIL_unhook	yes	no	no	yes	55	55	20	20
mismatch	_AIL_p80:_AIL_hook	_AIL_p80:_AIL_hook	yes	no	no	yes	55	55	22	22
mismatch	_AIL_p82:_block_type	_AIL_p82:_block_type	yes	no	no	yes	15	15	10	10
mismatch	_AIL_p85:_DP_preformat	_AIL_p85:_DP_preformat	yes	no	no	yes	179	179	77	77
mismatch	_AIL_p91:_process_block	_AIL_p91:_process_block	yes	no	no	yes	343	343	146	146
mismatch	_AIL_p94:_xfer_chunk	_AIL_p94:_xfer_chunk	yes	no	no	yes	215	215	86	86
mismatch	_AIL_p95:_DP_describe_driver	_AIL_p95:_DP_describe_driver	yes	no	no	yes	128	128	41	41
mismatch	_AIL_p99:UU_DP_index_VOC_blk	_AIL_p99:UU_DP_index_VOC_blk	yes	no	no	yes	294	294	144	144
mismatch	_AIL_p103:_DP_format_VOC_file	_AIL_p103:_DP_format_VOC_file	yes	no	no	yes	238	238	110	110
mismatch	_AIL_p104:UU_DP_format_sb	_AIL_p104:UU_DP_format_sb	yes	no	no	yes	61	61	32	32
mismatch	_AIL_p105:_DP_start_d_pb	_AIL_p105:_DP_start_d_pb	yes	no	no	yes	72	72	30	30
mismatch	_AIL_p106:_DP_stop_d_bp	_AIL_p106:_DP_stop_d_bp	yes	no	no	yes	68	68	31	31
mismatch	_AIL_p107:UU_DP_get_VOC_status	_AIL_p107:UU_DP_get_VOC_status	yes	no	no	yes	15	15	12	12
mismatch	ovr048p1:Save_SAVE_GAM	ovr050p1:Save_SAVE_GAM	yes	no	no	no	1016	1016	410	409
mismatch	ovr048p2:Load_SAVE_GAM	ovr050p2:Load_SAVE_GAM	yes	no	no	no	1000	1000	402	402
mismatch	seg002p1:Mark_Time	seg002p1:Mark_Time	yes	no	no	yes	22	22	9	9
mismatch	seg002p2:Time_Passed_	seg002p2:Time_Passed_	yes	no	no	yes	16	16	7	7
mismatch	seg002p3:Release_Time	seg002p3:Release_Time	yes	no	no	no	54	54	32	32
mismatch	seg002p4:RP_CLK_ExtWait	seg002p4:UU_CLK_ExtWait	yes	no	no	yes	97	97	42	42
mismatch	seg002p5:Wait_For_Vsync_	seg002p5:VGA_WaitSync	yes	no	no	yes	16	16	10	10
mismatch	seg003p1:RP_Return_Ignore	seg003p1:UU_Return_Ignore	yes	no	no	yes	3	3	2	2
mismatch	seg003p2:RP_DISK_GetSpace	seg003p2:UU_Botched_DISK_GetSpace	yes	no	no	yes	90	90	44	44
mismatch	seg003p3:RP_DISK_GetDefaultDrive	seg003p3:UU_DISK_GetDefaultDrive	yes	no	no	yes	15	15	12	12
mismatch	seg003p5:LOF	seg003p5:LOF	yes	no	no	no	104	104	60	59
mismatch	seg003p6:UU_DISK_GetFileDateTime	seg003p6:UU_DISK_GetFileDateTime	yes	no	no	yes	78	78	42	42
mismatch	seg003p7:UU_DISK_CheckDrive	seg003p7:UU_DISK_CheckDrive	yes	no	no	yes	55	55	36	36
mismatch	seg003p8:UU_DISK_GetCurrentDir	seg003p8:UU_DISK_GetCurrentDir	yes	no	no	yes	45	45	27	27
mismatch	seg004p1:DIR	seg004p1:DIR	yes	no	no	yes	128	128	70	70
mismatch	seg004p2:Disk_Free	seg004p2:Disk_Free	yes	no	no	yes	34	34	19	19
mismatch	seg005p1:Exit_With_Size	seg005p1:Exit_With_Size	yes	no	no	no	311	311	137	137
mismatch	seg005p2:Exit_With_Message	seg005p2:Exit_With_Message	yes	no	no	no	44	44	14	11
mismatch	seg005p3:UU_Exit_With_Value	seg005p3:Exit_With_Value	no	no	no	no	69	64	25	21
mismatch	seg005p4:GAME_EXE_Swap	seg005p4:GAME_EXE_Swap	yes	no	no	yes	155	155	67	67
mismatch	seg005p5:Update_MemFreeWorst_KB	seg005p5:Check_Free	yes	no	no	no	24	24	11	12
mismatch	seg005p6:RP_VGA_B800Dump	seg005p6:UU_VGA_B800Dump	no	no	no	no	252	245	107	101
mismatch	seg005p7:RP_VGA_TextModeString	seg005p7:UU_VGA_TextModeString	yes	no	no	yes	88	88	49	49
mismatch	seg006p1:Reset_Video	seg006p1:Reset_Video	yes	no	no	yes	6	6	3	3
mismatch	seg006p2:Quit_With_Message	seg006p2:Quit_With_Message	no	no	no	no	45	43	25	24
mismatch	seg006p3:UU_DOS_PrintString	seg006p3:Print_Message	yes	no	no	yes	41	41	23	23
mismatch	seg006p4:dos_memfree_kb	seg006p4:Dos_Free	yes	no	no	yes	30	30	19	19
mismatch	seg006p5:DBG_Open_ERROR_LOG	seg006p5:DBG_Open_ERROR_LOG	yes	no	no	yes	9	9	9	9
mismatch	seg006p6:DBG_Close_ERROR_LOG	seg006p6:DBG_Close_ERROR_LOG	yes	no	no	yes	9	9	9	9
mismatch	seg007p1:UU_DOS_Allocate_Space	seg007p1:UU_SAMB_DOS_Allocate_Memory	yes	no	no	no	56	56	37	37
mismatch	seg007p2:UU_DOS_MemBlk_Alloc	seg007p2:UU_DOS_MemAlloc	yes	no	no	no	31	31	24	24
mismatch	seg007p3:UU_DOS_MemBlk_Free	seg007p3:UU_DOS_MemFree	yes	no	no	no	29	29	18	18
mismatch	seg007p4:Check_Allocation	seg007p4:Check_Allocation	yes	no	no	no	39	39	24	26
mismatch	seg007p5:farpeekb	seg007p5:farpeekb	yes	no	no	yes	20	20	15	15
mismatch	seg007p6:farpeekw	seg007p6:farpeekw	yes	no	no	no	18	18	14	14
mismatch	seg007p7:farpeekdw	seg007p7:farpeekdw	yes	no	no	yes	25	25	18	18
mismatch	seg007p8:farpokeb	seg007p8:farpokeb	yes	no	no	yes	21	21	16	16
mismatch	seg007p9:farpokew	seg007p9:farpokew	yes	no	no	yes	21	21	16	16
mismatch	seg007p10:UU_farpokedw	seg007p10:farpokedw	yes	no	no	no	25	25	18	18
mismatch	seg008p1:Near_Allocate_Mark	seg008p1:Near_Allocate_Mark	yes	no	no	yes	11	11	6	6
mismatch	seg008p2:Near_Allocate_Undo	seg008p2:Near_Allocate_Undo	yes	no	no	yes	11	11	6	6
mismatch	seg008p3:UU_Near_Allocate_Reset	seg008p3:Near_Allocate_Reset	yes	no	no	yes	17	17	6	6
mismatch	seg008p4:Near_Allocate_First	seg008p4:Near_Allocate_First	yes	no	no	no	55	55	28	27
mismatch	seg008p5:Near_Allocate_Next	seg008p5:Near_Allocate_Next	yes	no	no	no	60	60	29	29
mismatch	seg008p6:Near_Allocation_Error	seg008p6:Near_Allocation_Error	yes	no	no	no	74	74	34	34
mismatch	seg008p7:Allocate_Space	seg008p7:Allocate_Space	yes	no	no	no	159	159	69	66
mismatch	seg008p8:Allocate_Space_No_Header__LbxHeader	seg008p8:Allocate_Space_No_Header__LbxHeader	yes	no	no	no	74	74	32	32
mismatch	seg008p9:SA_Allocate_MemBlk_EntrySize	seg008p9:Allocate_Space_No_Header__EntrySize	yes	no	no	no	74	74	32	32
mismatch	seg008p10:Mark_Block	seg008p10:Mark_Block	yes	no	no	yes	46	46	25	25
mismatch	seg008p11:Release_Block	seg008p11:Release_Block	yes	no	no	no	46	46	24	24
mismatch	seg008p12:Allocate_First_Block	seg008p12:Allocate_First_Block	yes	no	no	no	201	201	101	97
mismatch	seg008p13:UU_SA_Alloc_Reset	seg008p13:Reset_First_Block	yes	no	no	no	53	53	29	30
mismatch	seg008p14:Allocate_Next_Block	seg008p14:Allocate_Next_Block	yes	no	no	no	209	209	108	102
mismatch	seg008p15:Get_Free_Blocks	seg008p15:Get_Free_Blocks	yes	no	no	no	51	51	30	29
mismatch	seg008p16:SA_MK_FP0	seg008p16:SA_MK_FP0	yes	no	no	no	35	35	17	18
mismatch	seg008p17:UU_SA_MK_FP_Norm	seg008p17:UU_combine_32	yes	no	no	no	47	47	24	24
mismatch	seg008p18:UU_SA_Deallocate_Space	seg008p18:UU_LBX_Alloc_Free	yes	no	no	no	33	33	14	14
mismatch	seg008p19:Allocation_Error	seg008p19:Allocation_Error	yes	no	no	no	410	410	182	183
mismatch	seg009p1:lbx_open	seg009p1:lbx_open	yes	no	no	yes	32	32	24	24
mismatch	seg009p2:lbx_close	seg009p2:lbx_close	yes	no	no	no	20	20	16	16
mismatch	seg009p3:lbx_seek	seg009p3:lbx_seek	yes	no	no	no	41	41	28	28
mismatch	seg009p4:lbx_lof	seg009p4:lbx_lof	yes	no	no	no	41	41	27	27
mismatch	seg009p5:lbx_read_sgmt	seg009p5:lbx_read_sgmt	yes	no	no	yes	45	45	31	31
mismatch	seg009p6:lbx_read_ofst	seg009p6:lbx_read_ofst	yes	no	no	no	40	40	30	29
mismatch	seg009p7:_fstrcpy	seg009p7:_fstrcpy	yes	no	no	yes	57	57	34	34
mismatch	seg010p1:LBX_Load	seg010p1:LBX_Load	yes	no	no	no	28	28	18	18
mismatch	seg010p2:LBX_Reload	seg010p2:LBX_Reload	yes	no	no	no	29	29	18	18
mismatch	seg010p3:LBX_Reload_Next	seg010p3:LBX_Reload_Next	yes	no	no	yes	29	29	18	18
mismatch	seg010p4:LBX_Load_Data	seg010p4:LBX_Load_Data	yes	no	no	no	34	34	22	22
mismatch	seg010p5:RP_LBXR_LoadReplace	seg010p5:UU_LBXR_LoadReplace	yes	no	no	yes	35	35	22	22
mismatch	seg010p6:RP_LBXR_LoadAppend	seg010p6:UU_LBXR_LoadAppend	yes	no	no	yes	35	35	22	22
mismatch	seg010p7:UU_LBXE_LoadSingle2	seg010p7:UU_LBXE_LoadSingle2	yes	no	no	yes	29	29	18	18
mismatch	seg010p8:UU_LBXE_LoadReplace2	seg010p8:UU_LBXE_LoadReplace2	yes	no	no	yes	30	30	18	18
mismatch	seg010p9:UU_LBXE_LoadAppend2	seg010p9:UU_LBXE_LoadAppend2	yes	no	no	yes	30	30	18	18
mismatch	seg010p10:LBX_Load_Library	seg010p10:LBX_Load_Entry	yes	no	no	no	1046	1046	437	436
mismatch	seg010p11:LBX_Load_Record	seg010p11:LBX_Load_Library_Data	yes	no	no	no	1224	1224	510	511
mismatch	seg010p12:LBX_Load_Data_Static	seg010p12:LBX_Load_Data_Static	yes	no	no	yes	815	815	347	347
mismatch	seg010p13:LBX_GetEntryData	seg010p13:LBX_Get_Entry_Data	yes	no	no	no	537	537	230	228
mismatch	seg010p14:Set_Alternate_Path	seg010p14:Set_Alternate_Path	yes	no	no	no	19	19	11	11
mismatch	seg010p15:Error_Handler	seg010p15:Error_Handler	yes	no	no	no	415	415	182	183
mismatch	seg010p16:File_Name_Base	seg010p16:File_Name_Base	yes	no	no	no	61	61	31	31
mismatch	seg010p17:RAM_Set_Minimum	seg010p17:RAM_Set_Minimum	yes	no	no	yes	11	11	7	7
mismatch	seg011p1:gfopen	seg011p1:gfopen	yes	no	no	no	119	119	58	59
mismatch	seg011p2:gfread	seg011p2:gfread	yes	no	no	no	47	47	23	24
mismatch	seg011p3:gfwrite	seg011p3:gfwrite	yes	no	no	no	47	47	24	24
mismatch	seg011p4:gfseek	seg011p4:gfseek	yes	no	no	no	22	22	13	13
mismatch	seg011p5:gfclose	seg011p5:gfclose	yes	no	no	yes	13	13	7	7
mismatch	seg012p1:EMM_Detect_Device	seg012p1:EMM_Detect_Device	yes	no	no	yes	88	88	45	45
mismatch	seg012p2:EMM_GetActiveHandleCount	seg012p2:EMM_Number_Of_Handles	yes	no	no	yes	28	28	20	20
mismatch	seg012p3:EMM_GetFreePageCount	seg012p3:EMM_Get_Free_Page_Count	yes	no	no	yes	28	28	20	20
mismatch	seg012p4:EMS_GetHandlePageCount	seg012p4:EMM_GetPageCount	yes	no	no	yes	36	36	26	26
mismatch	seg012p5:EMS_MakeNamedHandle	seg012p5:EMM_MakeNamedHandle	yes	no	no	yes	60	60	37	37
mismatch	seg012p6:EMS_GetHandleName	seg012p6:EMM_Get_Handle_Name	yes	no	no	no	54	54	34	34
mismatch	seg012p7:EMM_ReleaseHandle	seg012p7:EMM_Release_Handle	yes	no	no	no	26	26	18	18
mismatch	seg012p8:EMM_MapnRead	seg012p8:EMM_MapnRead	yes	no	no	no	127	127	63	62
mismatch	seg012p9:EMM_MapnWrite	seg012p9:EMM_MapnWrite	yes	no	no	no	127	127	63	61
mismatch	seg012p10:EMM_GetPageFrame	seg012p10:EMM_Get_Page_Frame	yes	no	yes	yes	11	11	6	6
mismatch	seg012p11:EMM_Map4	seg012p11:EMM_MapFourPages	yes	no	no	no	59	59	32	32
mismatch	seg012p12:EMM_MapMulti4	seg012p12:EMM_MapMulti4	yes	no	no	no	59	59	34	34
mismatch	seg013p1:EMM_Startup	seg013p1:EMM_Startup	yes	no	no	no	431	431	179	180
mismatch	seg013p2:UU_EMM_Load_LBX_0	seg013p2:EMM_Load_LBX_File_0	yes	no	no	no	18	18	13	13
mismatch	seg013p3:EMM_Load_LBX_File_1	seg013p3:EMM_Load_LBX_File_1	yes	no	no	no	19	19	13	13
mismatch	seg013p4:EMM_Load_LBX_File	seg013p4:EMM_Load_LBX_File	yes	no	no	no	532	532	209	209
mismatch	seg013p5:UU_EMM_LoadLBX2Hnd	seg013p5:RP_EMM_LoadLBX2Hnd	yes	no	yes	yes	25	25	16	16
mismatch	seg013p6:UU_EMM_LoadLBX2Hnd2	seg013p6:RP_EMM_LoadLBX2Hnd2	yes	no	yes	yes	26	26	16	16
mismatch	seg013p7:UU_EMM_LoadLBX_Fail	seg013p7:UU_EMM_LoadLBX_Fail	yes	no	no	no	483	483	197	198
mismatch	seg013p8:UU_EMM_CustLoadLBX	seg013p8:UU_EMM_CustLoadLBX	yes	no	no	yes	37	37	22	22
mismatch	seg013p10:UU_EMM_CustomLBXLoad	seg013p10:UU_EMM_CustomLBXLoad	yes	no	no	yes	551	551	222	222
mismatch	seg013p11:EMM_LBX_Load_Entry	seg013p11:EMM_LBX_EntryLoader	yes	no	no	no	670	670	285	280
mismatch	seg013p12:EMM_LBX_Load_FLIC_Header	seg013p12:EMM_LBX_Load_Picture_Header	yes	no	no	no	513	513	217	215
mismatch	seg013p13:EMM_LBX_Load_Record	seg013p13:EMM_LBX_RecLoader	yes	no	no	no	706	706	307	305
mismatch	seg013p14:EMM_LBXR_DirectLoad	seg013p14:EMM_LBXR_DirectLoad	yes	no	no	no	425	425	196	193
mismatch	seg013p15:EMM_CheckHandleOpen	seg013p15:EMM_CheckHandleOpen	yes	no	no	no	85	85	42	42
mismatch	seg013p16:EMM_ReleaseAll__STUB	seg013p16:EMM_Release_All	yes	no	no	no	54	54	23	24
mismatch	seg013p17:EMM_Release_Resd	seg013p17:EMM_Release_Resd	yes	no	no	yes	53	53	24	24
mismatch	seg013p18:UU_EMM_ReleaseHnd	seg013p18:UU_EMM_ReleaseHnd	yes	no	no	yes	235	235	110	110
mismatch	seg013p19:UU_Get_EMM_OK	seg013p19:UU_EMM_Available	yes	no	no	yes	10	10	6	6
mismatch	seg013p20:EMM_Get_Handle	seg013p20:EMM_Get_Handle	yes	no	no	no	573	573	248	248
mismatch	seg013p21:UU_EMM_VGAWrite_fP5	seg013p21:RP_EMM_VGAWrite_fP5	yes	no	no	yes	34	34	17	17
mismatch	seg013p22:UU_EMM_VGARead_fP5	seg013p22:RP_EMM_VGARead_fP5	yes	no	no	yes	34	34	17	17
mismatch	seg013p23:UU_EMM_VGAWrite_P5	seg013p23:RP_EMM_VGAWrite_P5	yes	no	yes	yes	43	43	21	21
mismatch	seg013p24:UU_EMM_VGARead_P5	seg013p24:RP_EMM_VGARead_P5	yes	no	yes	yes	43	43	21	21
mismatch	seg013p25:EMM_Map4_EMMDATAH	seg013p25:EMMDATAH_Map	yes	no	no	yes	19	19	10	10
mismatch	seg013p26:EMM_EMMDATAH_AllocFirst	seg013p26:EMMDATAH_Allocate_First	yes	no	no	no	170	170	77	77
mismatch	seg013p27:EMM_EMMDATAH_AllocNext	seg013p27:EMMDATAH_Allocate_Next	yes	no	no	no	168	168	78	78
mismatch	seg013p28:UU_EMM_Data_Mark	seg013p28:EMMDATAH_Save_Last_Offset	yes	no	no	yes	11	11	6	6
mismatch	seg013p29:UU_EMM_Data_Undo	seg013p29:EMMDATAH_Restore_Last_Offset	yes	no	no	yes	11	11	6	6
mismatch	seg013p30:RP_EMM_LBX_Load2Hnd	seg013p30:UU_EMM_LBX_Load2Hnd	yes	no	no	no	355	355	143	144
mismatch	seg013p31:EMM_Set_Minimum	seg013p31:EMM_Set_Minimum	yes	no	no	no	11	11	7	7
mismatch	seg013p32:EMS_BuildEmsErrStr	seg013p32:EMM_Error_Message	yes	no	no	no	71	71	37	37
mismatch	seg014p1:Init_Drivers	seg014p1:Init_Drivers	yes	no	no	no	157	157	78	78
mismatch	seg014p2:UU_Legacy_Startup	seg014p2:UU_Legacy_Startup	yes	no	no	no	90	90	45	46
mismatch	seg014p3:Load_Font_File	seg014p3:Load_Font_File	yes	no	no	no	200	200	86	86
mismatch	seg014p4:Set_Window	seg014p4:Set_Window	yes	no	no	no	87	87	42	47
mismatch	seg014p5:Reset_Window	seg014p5:Reset_Window	yes	no	no	yes	29	29	8	8
mismatch	seg014p6:VGA_WndDrawFilldRect	seg014p6:Clipped_Fill	yes	no	no	no	124	124	53	55
mismatch	seg014p7:UU_VGA_WndPutPixel	seg014p7:Clipped_Dot	yes	no	no	no	62	62	31	33
mismatch	seg014p8:VGA_WndDrawLine	seg014p8:Clipped_Line	yes	no	no	no	40	40	26	26
mismatch	seg014p9:UU_VGA_WndDrawPtrnLine	seg014p9:Clipped_Multi_Colored_Line	yes	no	no	no	41	41	26	26
mismatch	seg014p10:VGA_WndDrawLineBase	seg014p10:Clipped_Line_Base	yes	no	no	no	710	710	296	298
mismatch	seg014p11:UU_VGA_DrawBiColorRect	seg014p11:UU_Interlaced_Fill	yes	no	no	no	97	97	48	50
mismatch	seg014p12:UU_VGA_DrawRect	seg014p12:UU_VGA_DrawRect	yes	no	no	yes	120	120	59	59
mismatch	seg014p13:UU_VGA_WndDrawRect	seg014p13:UU_VGA_WndDrawRect	yes	no	no	yes	116	116	63	63
mismatch	seg014p14:VGA_DrawDblRect	seg014p14:UU_VGA_DrawDblRect	yes	no	no	no	187	187	86	86
mismatch	seg014p15:Gradient_Fill	seg014p15:Gradient_Fill	yes	no	no	no	183	183	82	84
mismatch	seg014p16:DOS_PrintString__STUB	seg014p16:DOS_PrintString__STUB	yes	no	no	no	17	17	11	12
mismatch	seg015p1:Set_Video_Mode	seg015p1:Set_Video_Mode	yes	no	no	yes	68	68	43	43
mismatch	seg016p1:Fill	seg016p1:Fill	yes	no	no	no	260	260	130	130
mismatch	seg016p2:Dot	seg016p2:Dot	yes	no	no	no	58	58	33	33
mismatch	seg016p3:Line	seg016p3:Line	yes	no	no	no	265	265	126	128
mismatch	seg016p4:Multi_Colored_Line	seg016p4:Multi_Colored_Line	yes	no	no	no	290	290	141	142
mismatch	seg016p5:UU_VGA_CreateColorWave	seg016p5:UU_VGA_CreateColorWave	yes	no	yes	yes	55	55	30	30
mismatch	seg016p6:RP_VGA_DiagColumns	seg016p6:UU_VGA_DiagColumns	yes	no	no	yes	269	269	132	132
mismatch	seg016p7:RNG_Direct_LFSR	seg016p7:rnd_bitfiddle__1oom	yes	no	yes	yes	56	56	30	30
mismatch	seg016p8:VGA_Shade_Rect	seg016p8:Tint_Fill	yes	no	no	no	509	509	212	212
mismatch	seg016p9:VGA_Grayscale_Rect	seg016p9:Gray_Scale_Fill	yes	no	no	no	557	557	237	237
mismatch	seg016p10:RP_VGA_Columns	seg016p10:UU_VGA_Columns	yes	no	no	yes	234	234	117	117
mismatch	seg016p11:RP_VGA_ScrambleRect	seg016p11:UU_VGA_ScrambleRect	yes	no	no	yes	372	372	185	185
mismatch	seg017p1:Set_Font_Style_Shadow_Down	seg017p1:Set_Font_Style_Shadow_Down	yes	no	no	no	45	45	21	21
mismatch	seg017p2:VGA_SetFont_Style2	seg017p2:Set_Font_Style_Shadow_Up	yes	no	no	no	45	45	21	21
mismatch	seg017p3:UU_VGA_SetFont_Style3	seg017p3:Set_Font_Style_Shadow_Heavy	yes	no	no	no	45	45	21	21
