segment_pair	ordinal	MAGIC	WIZARDS	size_ratio	normalized_similarity	normalized_line_edit_distance	normalized_line_edit_similarity	mnemonic_similarity	mnemonic_line_edit_distance	mnemonic_line_edit_similarity	magic_instruction_count	wizards_instruction_count
seg005->seg005	2	Exit_With_Message	Exit_With_Message	0.785714	0.899787	4	0.714286	0.896000	3	0.785714	14	11
seg005->seg005	3	UU_Exit_With_Value	Exit_With_Value	0.840000	0.931850	6	0.760000	0.923767	4	0.840000	25	21
seg031->seg033	7	UU_LBX_IMG_RawOverlay	Mask_Bitmap_Pixels	0.857143	0.106880	34	0.346154	0.670588	11	0.775510	42	49
seg031->seg033	11	UU_LBX_IMG_PartialCopy	Mask_Bitmap_Pixels_Inverse	0.875000	0.244165	33	0.352941	0.295858	12	0.750000	42	48
seg014->seg014	4	Set_Window	Set_Window	0.893617	0.599016	33	0.377358	0.901333	5	0.893617	42	47
seg028->seg030	9	UU_LBX_IMG_ClearGraphic	Replace_Color_All	0.916667	0.361915	39	0.380952	0.696063	10	0.833333	55	60
seg005->seg005	5	Update_MemFreeWorst_KB	Check_Free	0.916667	0.752294	9	0.307692	0.949495	1	0.916667	11	12
seg028->seg030	42	UU_LBX_IMG_OutlineOvr	Outline_Bitmap_Pixels	0.925620	0.408744	100	0.253731	0.030303	14	0.884298	112	121
seg028->seg030	28	UU_LBX_IMG_StripColors	Transparent_Color_Range	0.936508	0.017055	25	0.615385	0.688474	10	0.841270	59	63
seg014->seg014	7	UU_VGA_WndPutPixel	Clipped_Dot	0.939394	0.792703	18	0.538462	0.912281	4	0.878788	31	33
seg028->seg030	43	UU_LBX_IMG_OutlineOvr_R	Outline_Bitmap_Pixels_No_Glass	0.943089	0.382314	114	0.155556	0.344704	11	0.910569	116	123
seg005->seg005	6	RP_VGA_B800Dump	UU_VGA_B800Dump	0.943925	0.466191	29	0.743363	0.924152	9	0.915888	107	101
seg008->seg008	14	Allocate_Next_Block	Allocate_Next_Block	0.944444	0.202145	46	0.581818	0.533333	9	0.916667	108	102
seg031->seg033	13	UU_LBX_IMG_Shrink	Reduce_Bitmap	0.945946	0.568786	43	0.434211	0.841339	7	0.905405	70	74
seg022->seg022	7	Randomize	Randomize	0.950000	0.186992	7	0.650000	0.829016	2	0.900000	19	20
seg020->seg020	5	Set_Palette_Changes	Set_Palette_Changes	0.950000	0.287540	13	0.409091	0.864078	3	0.850000	19	20
seg020->seg020	6	Clear_Palette_Changes	Clear_Palette_Changes	0.950000	0.466454	13	0.409091	0.960784	1	0.950000	19	20
seg034->seg036	76	Assign_Auto_Function	Assign_Auto_Function	0.950000	0.632044	8	0.636364	0.947368	1	0.950000	19	20
seg028->seg030	1	UU_LBX_Image_Copy	Copy_Bitmap_To_Bitmap	0.951220	0.419890	32	0.346939	0.805755	5	0.878049	39	41
seg008->seg008	7	Allocate_Space	Allocate_Space	0.956522	0.279359	31	0.563380	0.961857	4	0.942029	69	66
seg018->seg018	7	Get_String_Width	Get_String_Width	0.958333	0.340255	18	0.647059	0.919315	2	0.958333	46	48
seg011->seg011	2	gfread	gfread	0.958333	0.684899	3	0.888889	0.927273	1	0.958333	23	24
seg013->seg013	16	EMM_ReleaseAll__STUB	EMM_Release_All	0.958333	0.741026	11	0.592593	0.979798	1	0.958333	23	24
seg017->seg017	10	UU_VGA_BotchedFColor	Set_Font_Highlight_Colors	0.958333	0.751445	14	0.500000	0.940639	2	0.916667	23	24
seg021->seg021	2	Cycle_Palette	Cycle_Palette	0.959016	0.458726	37	0.737589	0.012060	8	0.934426	122	117
seg034->seg036	46	UU_GUI_CreateMStateBtn	UU_GUI_CreateMStateBtn	0.959184	0.101874	21	0.580000	0.760915	8	0.836735	49	47
seg014->seg014	11	UU_VGA_DrawBiColorRect	UU_Interlaced_Fill	0.960000	0.128514	28	0.440000	0.891213	6	0.880000	48	50
