MAGIC	WIZARDS
Mark_Time	Mark_Time
Time_Passed_	Time_Passed_
Release_Time	Release_Time
RP_CLK_ExtWait	UU_CLK_ExtWait
RP_DISK_GetSpace	UU_Botched_DISK_GetSpace
LOF	LOF
UU_DISK_GetFileDateTime	UU_DISK_GetFileDateTime
DIR	DIR
Exit_With_Size	Exit_With_Size
Exit_With_Message	Exit_With_Message
UU_Exit_With_Value	Exit_With_Value
GAME_EXE_Swap	GAME_EXE_Swap
Update_MemFreeWorst_KB	Check_Free
RP_VGA_B800Dump	UU_VGA_B800Dump
Quit_With_Message	Quit_With_Message
Near_Allocate_Mark	Near_Allocate_Mark
Near_Allocate_Undo	Near_Allocate_Undo
UU_Near_Allocate_Reset	Near_Allocate_Reset
Near_Allocate_First	Near_Allocate_First
Near_Allocate_Next	Near_Allocate_Next
Near_Allocation_Error	Near_Allocation_Error
Allocate_Space	Allocate_Space
Allocate_Space_No_Header__LbxHeader	Allocate_Space_No_Header__LbxHeader
SA_Allocate_MemBlk_EntrySize	Allocate_Space_No_Header__EntrySize
Mark_Block	Mark_Block
Release_Block	Release_Block
Allocate_First_Block	Allocate_First_Block
UU_SA_Alloc_Reset	Reset_First_Block
Allocate_Next_Block	Allocate_Next_Block
Get_Free_Blocks	Get_Free_Blocks
UU_SA_Deallocate_Space	UU_LBX_Alloc_Free
Allocation_Error	Allocation_Error
LBX_Load_Library	LBX_Load_Entry
LBX_Load_Record	LBX_Load_Library_Data
LBX_Load_Data_Static	LBX_Load_Data_Static
LBX_GetEntryData	LBX_Get_Entry_Data
Set_Alternate_Path	Set_Alternate_Path
Error_Handler	Error_Handler
RAM_Set_Minimum	RAM_Set_Minimum
gfopen	gfopen
gfread	gfread
gfwrite	gfwrite
gfseek	gfseek
gfclose	gfclose
EMM_Detect_Device	EMM_Detect_Device
EMM_MapnRead	EMM_MapnRead
EMM_MapnWrite	EMM_MapnWrite
EMM_GetPageFrame	EMM_Get_Page_Frame
EMM_MapMulti4	EMM_MapMulti4
EMM_Startup	EMM_Startup
EMM_Load_LBX_File	EMM_Load_LBX_File
UU_EMM_LoadLBX_Fail	UU_EMM_LoadLBX_Fail
UU_EMM_CustomLBXLoad	UU_EMM_CustomLBXLoad
EMM_LBX_Load_Entry	EMM_LBX_EntryLoader
EMM_LBX_Load_FLIC_Header	EMM_LBX_Load_Picture_Header
EMM_LBX_Load_Record	EMM_LBX_RecLoader
EMM_LBXR_DirectLoad	EMM_LBXR_DirectLoad
EMM_CheckHandleOpen	EMM_CheckHandleOpen
EMM_ReleaseAll__STUB	EMM_Release_All
EMM_Release_Resd	EMM_Release_Resd
UU_EMM_ReleaseHnd	UU_EMM_ReleaseHnd
UU_Get_EMM_OK	UU_EMM_Available
EMM_Get_Handle	EMM_Get_Handle
UU_EMM_VGAWrite_fP5	RP_EMM_VGAWrite_fP5
UU_EMM_VGARead_fP5	RP_EMM_VGARead_fP5
UU_EMM_VGAWrite_P5	RP_EMM_VGAWrite_P5
UU_EMM_VGARead_P5	RP_EMM_VGARead_P5
EMM_Map4_EMMDATAH	EMMDATAH_Map
EMM_EMMDATAH_AllocFirst	EMMDATAH_Allocate_First
EMM_EMMDATAH_AllocNext	EMMDATAH_Allocate_Next
UU_EMM_Data_Mark	EMMDATAH_Save_Last_Offset
UU_EMM_Data_Undo	EMMDATAH_Restore_Last_Offset
RP_EMM_LBX_Load2Hnd	UU_EMM_LBX_Load2Hnd
EMM_Set_Minimum	EMM_Set_Minimum
EMS_BuildEmsErrStr	EMM_Error_Message
Init_Drivers	Init_Drivers
UU_Legacy_Startup	UU_Legacy_Startup
Load_Font_File	Load_Font_File
Set_Window	Set_Window
Reset_Window	Reset_Window
VGA_WndDrawFilldRect	Clipped_Fill
UU_VGA_WndPutPixel	Clipped_Dot
VGA_WndDrawLineBase	Clipped_Line_Base
UU_VGA_DrawBiColorRect	UU_Interlaced_Fill
UU_VGA_DrawRect	UU_VGA_DrawRect
VGA_DrawDblRect	UU_VGA_DrawDblRect
Gradient_Fill	Gradient_Fill
Fill	Fill
Dot	Dot
Line	Line
Multi_Colored_Line	Multi_Colored_Line
UU_VGA_CreateColorWave	UU_VGA_CreateColorWave
RP_VGA_DiagColumns	UU_VGA_DiagColumns
VGA_Shade_Rect	Tint_Fill
VGA_Grayscale_Rect	Gray_Scale_Fill
RP_VGA_Columns	UU_VGA_Columns
RP_VGA_ScrambleRect	UU_VGA_ScrambleRect
Set_Font_Style_Shadow_Down	Set_Font_Style_Shadow_Down
VGA_SetFont_Style2	Set_Font_Style_Shadow_Up
UU_VGA_SetFont_Style3	Set_Font_Style_Shadow_Heavy
UU_VGA_SetFont_Style4	Set_Font_Style_Outline
UU_VGA_SetFont_Style5	Set_Font_Style_Outline_Heavy
Set_Outline_Color	Set_Outline_Color
Set_Font_LF	Set_Font_LF
UU_VGA_SetSpaceWidth	Set_Font_Spacing_Width
UU_VGA_SetHorzSpacing	Set_Font_Spacing
UU_VGA_BotchedFColor	Set_Font_Highlight_Colors
Set_Font_Colors_15	Set_Font_Colors_15
VGA_SetAAColor	Set_Alias_Color
VGA_SaveAAColors	Save_Alias_Colors
VGA_RestoreAAColors	Restore_Alias_Colors
Print_Far	Print_Far
UU_VGA_DrawCenteredFar	Print_Centered_Far
UU_VGA_DrawRtAlgFar	Print_Right_Far
UU_VGA_WndDrawFarString	Clipped_Print_Far
UU_VGA_WndDrawCntrdFar	Clipped_Print_Centered_Far
UU_VGA_WndDrawRtAlgFar	Clipped_Print_Right_Far
UU_VGA_DrawNumber	Print_Integer
UU_VGA_DrawLongNumber	Print_Long
Print_Right	Print_Right
Print_Centered	Print_Centered
Print_Integer_Right	Print_Integer_Right
UU_VGA_DrawCntrdNumber	Print_Integer_Centered
UU_VGA_DrawRtAlgLongN	Print_Long_Right
UU_VGA_WndDrawNumber	Clipped_Print_Integer
UU_VGA_WndDrawLongN	Clipped_Print_Long
UU_VGA_WndDrawRtAligned	Clipped_Print_Right
UU_VGA_WndDrawCentered	Clipped_Print_Centered
UU_VGA_WndDrawRtAlgNum	Clipped_Print_Integer_Right
UU_VGA_WndDrawRtAlgLong	Clipped_Print_Long_Right
Print_Display	Print_Display
VGA_DrawString	Print_String
UU_VGA_DisableAAPixels	No_Print_Alias
FNT_FontColorSelect_0or1	Set_Highlight_Colors_On
