MAGIC	WIZARDS
Wait_For_Vsync_	VGA_WaitSync
RP_Return_Ignore	UU_Return_Ignore
RP_DISK_GetDefaultDrive	UU_DISK_GetDefaultDrive
UU_DISK_DeleteFile	UU_DISK_DeleteFile
UU_DISK_CheckDrive	UU_DISK_CheckDrive
UU_DISK_GetCurrentDir	UU_DISK_GetCurrentDir
Disk_Free	Disk_Free
RP_VGA_TextModeString	UU_VGA_TextModeString
Reset_Video	Reset_Video
UU_DOS_PrintString	Print_Message
dos_memfree_kb	Dos_Free
DBG_Open_ERROR_LOG	DBG_Open_ERROR_LOG
DBG_Close_ERROR_LOG	DBG_Close_ERROR_LOG
UU_DOS_Allocate_Space	UU_SAMB_DOS_Allocate_Memory
UU_DOS_MemBlk_Alloc	UU_DOS_MemAlloc
UU_DOS_MemBlk_Free	UU_DOS_MemFree
Check_Allocation	Check_Allocation
farpeekb	farpeekb
farpeekw	farpeekw
farpeekdw	farpeekdw
farpokeb	farpokeb
farpokew	farpokew
UU_farpokedw	farpokedw
SA_MK_FP0	SA_MK_FP0
UU_SA_MK_FP_Norm	UU_combine_32
lbx_open	lbx_open
lbx_close	lbx_close
lbx_seek	lbx_seek
lbx_lof	lbx_lof
lbx_read_sgmt	lbx_read_sgmt
lbx_read_ofst	lbx_read_ofst
_fstrcpy	_fstrcpy
LBX_Load	LBX_Load
LBX_Reload	LBX_Reload
LBX_Reload_Next	LBX_Reload_Next
LBX_Load_Data	LBX_Load_Data
RP_LBXR_LoadReplace	UU_LBXR_LoadReplace
RP_LBXR_LoadAppend	UU_LBXR_LoadAppend
UU_LBXE_LoadSingle2	UU_LBXE_LoadSingle2
UU_LBXE_LoadReplace2	UU_LBXE_LoadReplace2
UU_LBXE_LoadAppend2	UU_LBXE_LoadAppend2
File_Name_Base	File_Name_Base
EMM_GetActiveHandleCount	EMM_Number_Of_Handles
EMM_GetFreePageCount	EMM_Get_Free_Page_Count
EMS_GetHandlePageCount	EMM_GetPageCount
EMS_MakeNamedHandle	EMM_MakeNamedHandle
EMS_GetHandleName	EMM_Get_Handle_Name
EMM_ReleaseHandle	EMM_Release_Handle
EMM_Map4	EMM_MapFourPages
UU_EMM_Load_LBX_0	EMM_Load_LBX_File_0
EMM_Load_LBX_File_1	EMM_Load_LBX_File_1
UU_EMM_LoadLBX2Hnd	RP_EMM_LoadLBX2Hnd
UU_EMM_LoadLBX2Hnd2	RP_EMM_LoadLBX2Hnd2
UU_EMM_CustLoadLBX	UU_EMM_CustLoadLBX
UU_EMM_CustLoadLBX2	UU_EMM_CustLoadLBX2
VGA_WndDrawLine	Clipped_Line
UU_VGA_WndDrawPtrnLine	Clipped_Multi_Colored_Line
UU_VGA_WndDrawRect	UU_VGA_WndDrawRect
DOS_PrintString__STUB	DOS_PrintString__STUB
Set_Video_Mode	Set_Video_Mode
RNG_Direct_LFSR	rnd_bitfiddle__1oom
VGA_DrawJustified	Print_Full
Print	Print
FNT_FontColorSelect_0	Set_Normal_Colors_On
Print_To_Bitmap	Print_To_Bitmap
UU_LBX_DrawJustified	Print_Full_To_Bitmap
