MAGIC	WIZARDS	magic_bytes	wizards_bytes	size_ratio
seg005p3:UU_Exit_With_Value	seg005p3:Exit_With_Value	69	64	0.927536
seg006p2:Quit_With_Message	seg006p2:Quit_With_Message	45	43	0.955556
seg005p6:RP_VGA_B800Dump	seg005p6:UU_VGA_B800Dump	252	245	0.972222
seg027p2:FLIC_Remap_Draw_Frame	seg029p2:Remap_Draw_Frame_ASM	492	486	0.987805
seg027p5:FLIC_Draw_Frame_EMM_Remap	seg029p5:EMM_Remap_Draw_Frame_ASM	489	487	0.995910
SOUNDp1:load_global_timbre	SOUNDp1:load_global_timbre	191	191	1.000000
SOUNDp2:Audio_Init__WIP	SOUNDp2:Audio_Init__WIP	1696	1696	1.000000
SOUNDp3:Play_Sound	SOUNDp3:Play_Sound	861	861	1.000000
SOUNDp4:UU_SND_SetMIDIVol	SOUNDp4:Set_Music_Volume__STUB	72	72	1.000000
SOUNDp5:UU_SND_GetMIDIVol	SOUNDp5:Get_Music_Volume__STUB	55	55	1.000000
SOUNDp6:UU_SND_Silence	SOUNDp6:Stop_All_Sounds__STUB	100	100	1.000000
SOUNDp7:SND_Get_Seq_Status	SOUNDp7:Midi_Sequence_Status	52	52	1.000000
SOUNDp8:Stop_Music__STUB	SOUNDp8:Stop_Music__STUB	125	125	1.000000
SOUNDp9:Audio_Uninit__STUB	SOUNDp9:Audio_Uninit__STUB	56	56	1.000000
SOUNDp10:UU_SND_LegacyFn	SOUNDp10:NX_UU_SND_LegacyFn	119	119	1.000000
SOUNDp11:BLASTER__board_ID	SOUNDp11:BLASTER__board_ID	322	322	1.000000
SOUNDp12:Audio_Error__STUB	SOUNDp12:Audio_Error__STUB	181	181	1.000000
_AIL_p1:_find_proc	_AIL_p1:_find_proc	56	56	1.000000
_AIL_p2:_call_driver	_AIL_p2:_call_driver	24	24	1.000000
_AIL_p3:_API_timer	_AIL_p3:_API_timer	209	209	1.000000
_AIL_p4:_init_DDA_arrays	_AIL_p4:_init_DDA_arrays	60	60	1.000000
_AIL_p5:_bios_caller	_AIL_p5:_bios_caller	7	7	1.000000
_AIL_p6:_hook_timer_process	_AIL_p6:_hook_timer_process	76	76	1.000000
_AIL_p7:_unhook_timer_proc	_AIL_p7:_unhook_timer_proc	48	48	1.000000
_AIL_p8:_set_PIT_divisor	_AIL_p8:_set_PIT_divisor	41	41	1.000000
_AIL_p9:_set_PIT_period	_AIL_p9:_set_PIT_period	42	42	1.000000
_AIL_p10:_ul_divide	_AIL_p10:_ul_divide	75	75	1.000000
_AIL_p11:_program_timers	_AIL_p11:_program_timers	149	149	1.000000
_AIL_p12:_AIL_startup	_AIL_p12:_AIL_startup	75	75	1.000000
_AIL_p13:_AIL_shutdown	_AIL_p13:_AIL_shutdown	101	101	1.000000
_AIL_p14:_AIL_register_timer	_AIL_p14:_AIL_register_timer	203	203	1.000000
_AIL_p15:_AIL_release_tmr_hnd	_AIL_p15:_AIL_release_tmr_hnd	73	73	1.000000
_AIL_p16:_AIL_release_all_tmrs	_AIL_p16:_AIL_release_all_tmrs	30	30	1.000000
_AIL_p17:_AIL_start_timer	_AIL_p17:_AIL_start_timer	40	40	1.000000
_AIL_p18:_AIL_start_all_timers	_AIL_p18:_AIL_start_all_timers	30	30	1.000000
_AIL_p19:_AIL_stop_timer	_AIL_p19:_AIL_stop_timer	40	40	1.000000
_AIL_p20:_AIL_stop_all_timers	_AIL_p20:_AIL_stop_all_timers	30	30	1.000000
_AIL_p21:_AIL_set_timer_prd	_AIL_p21:_AIL_set_timer_prd	85	85	1.000000
_AIL_p22:_AIL_set_timer_freq	_AIL_p22:_AIL_set_timer_freq	65	65	1.000000
_AIL_p23:_AIL_set_timer_divsr	_AIL_p23:_AIL_set_timer_divsr	60	60	1.000000
_AIL_p24:_AIL_int_divisor	_AIL_p24:_AIL_int_divisor	20	20	1.000000
_AIL_p25:_AIL_register_driver	_AIL_p25:_AIL_register_driver	227	227	1.000000
_AIL_p26:_AIL_release_drv_hnd	_AIL_p26:_AIL_release_drv_hnd	71	71	1.000000
_AIL_p27:_AIL_describe_driver	_AIL_p27:_AIL_describe_driver	38	38	1.000000
_AIL_p28:_AIL_detect_device	_AIL_p28:_AIL_detect_device	6	6	1.000000
_AIL_p29:_AIL_init_driver	_AIL_p29:_AIL_init_driver	178	178	1.000000
_AIL_p30:_AIL_shutdown_drvr	_AIL_p30:_AIL_shutdown_drvr	51	51	1.000000
_AIL_p31:UU_AIL_index_VOC_blk	_AIL_p31:UU_AIL_index_VOC_blk	6	6	1.000000
_AIL_p32:UU_AIL_reg_snd_buffer	_AIL_p32:UU_AIL_reg_snd_buffer	6	6	1.000000
_AIL_p33:UU_AIL_format_snd_buff	_AIL_p33:UU_AIL_format_snd_buff	6	6	1.000000
_AIL_p34:UU_AIL_snd_buff_status	_AIL_p34:UU_AIL_snd_buff_status	6	6	1.000000
_AIL_p35:_AIL_play_VOC_file	_AIL_p35:_AIL_play_VOC_file	6	6	1.000000
_AIL_p36:_AIL_format_VOC_file	_AIL_p36:_AIL_format_VOC_file	6	6	1.000000
_AIL_p37:UU_AIL_VOC_play_status	_AIL_p37:UU_AIL_VOC_play_status	6	6	1.000000
_AIL_p38:_AIL_start_digi_play	_AIL_p38:_AIL_start_digital_playback	6	6	1.000000
_AIL_p39:_AIL_stop_digi_play	_AIL_p39:_AIL_stop_digital_playback	6	6	1.000000
_AIL_p40:UU_AIL_pause_digi_play	_AIL_p40:UU_AIL_pause_digi_play	6	6	1.000000
_AIL_p41:UU_AIL_resm_digi_play	_AIL_p41:UU_AIL_resm_digi_play	6	6	1.000000
_AIL_p42:UU_AIL_set_digi_volume	_AIL_p42:UU_AIL_set_digi_volume	6	6	1.000000
_AIL_p43:UU_AIL_get_digi_volume	_AIL_p43:UU_AIL_get_digi_volume	6	6	1.000000
_AIL_p44:UU_AIL_set_digi_panpot	_AIL_p44:UU_AIL_set_digi_panpot	6	6	1.000000
_AIL_p45:UU_AIL_get_digi_panpot	_AIL_p45:UU_AIL_get_digi_panpot	6	6	1.000000
_AIL_p46:_AIL_state_table_size	_AIL_p46:_AIL_state_table_size	6	6	1.000000
_AIL_p47:_AIL_register_seq	_AIL_p47:_AIL_register_sequence	6	6	1.000000
_AIL_p48:_AIL_release_seq_hnd	_AIL_p48:_AIL_release_seq_hnd	6	6	1.000000
_AIL_p49:_AIL_t_cache_size	_AIL_p49:_AIL_default_timbre_cache_size	6	6	1.000000
_AIL_p50:_AIL_define_t_cache	_AIL_p50:_AIL_define_timbre_cache	6	6	1.000000
_AIL_p51:_AIL_timbre_req	_AIL_p51:_AIL_timbre_request	6	6	1.000000
_AIL_p52:_AIL_install_timbre	_AIL_p52:_AIL_install_timbre	6	6	1.000000
_AIL_p53:UU_AIL_protect_timbre	_AIL_p53:UU_AIL_protect_timbre	6	6	1.000000
_AIL_p54:UU_AIL_unprotect_t	_AIL_p54:UU_AIL_unprotect_t	6	6	1.000000
_AIL_p55:UU_AIL_timbre_status	_AIL_p55:UU_AIL_timbre_status	6	6	1.000000
_AIL_p56:_AIL_start_sequence	_AIL_p56:_AIL_start_sequence	6	6	1.000000
_AIL_p57:_AIL_stop_sequence	_AIL_p57:_AIL_stop_sequence	6	6	1.000000
_AIL_p58:UU_AIL_resume_seq	_AIL_p58:UU_AIL_resume_seq	6	6	1.000000
_AIL_p59:_AIL_sequence_status	_AIL_p59:_AIL_sequence_status	6	6	1.000000
_AIL_p60:UU_AIL_relative_volume	_AIL_p60:UU_AIL_relative_volume	6	6	1.000000
_AIL_p61:UU_AIL_relative_tempo	_AIL_p61:UU_AIL_relative_tempo	6	6	1.000000
_AIL_p62:UU_AIL_set_rel_volume	_AIL_p62:_AIL_set_rel_volume	6	6	1.000000
_AIL_p63:UU_AIL_set_rel_tempo	_AIL_p63:UU_AIL_set_rel_tempo	6	6	1.000000
_AIL_p64:UU_AIL_beat_count	_AIL_p64:UU_AIL_beat_count	6	6	1.000000
_AIL_p65:UU_AIL_measure_cnt	_AIL_p65:UU_AIL_measure_cnt	6	6	1.000000
_AIL_p66:UU_AIL_branch_index	_AIL_p66:UU_AIL_branch_index	6	6	1.000000
_AIL_p67:UU_AIL_ctrl_value	_AIL_p67:UU_AIL_ctrl_value	6	6	1.000000
_AIL_p68:UU_AIL_set_ctrl_value	_AIL_p68:UU_AIL_set_ctrl_value	6	6	1.000000
_AIL_p69:UU_AIL_channel_notes	_AIL_p69:UU_AIL_channel_notes	6	6	1.000000
_AIL_p70:UU_AIL_send_cv_msg	_AIL_p70:UU_AIL_send_cv_msg	6	6	1.000000
_AIL_p71:UU_AIL_send_sysex_msg	_AIL_p71:UU_AIL_send_sysex_msg	6	6	1.000000
_AIL_p72:UU_AIL_write_display	_AIL_p72:UU_AIL_write_display	6	6	1.000000
_AIL_p73:UU_AIL_install_cb	_AIL_p73:UU_AIL_install_cb	6	6	1.000000
_AIL_p74:UU_AIL_cancel_cb	_AIL_p74:UU_AIL_cancel_cb	6	6	1.000000
_AIL_p75:UU_AIL_lock_channel	_AIL_p75:UU_AIL_lock_channel	6	6	1.000000
_AIL_p76:UU_AIL_map_seq_channel	_AIL_p76:UU_AIL_map_seq_channel	6	6	1.000000
_AIL_p77:UU_AIL_release_channel	_AIL_p77:UU_AIL_release_channel	6	6	1.000000
_AIL_p78:UU_AIL_true_seq_chan	_AIL_p78:UU_AIL_true_seq_chan	6	6	1.000000
_AIL_p79:_AIL_unhook	_AIL_p79:_AIL_unhook	55	55	1.000000
_AIL_p80:_AIL_hook	_AIL_p80:_AIL_hook	55	55	1.000000
_AIL_p81:UU_sub_ptr	_AIL_p81:UU_sub_ptr	71	71	1.000000
_AIL_p82:_block_type	_AIL_p82:_block_type	15	15	1.000000
_AIL_p83:_marker_num	_AIL_p83:_marker_num	23	23	1.000000
_AIL_p84:_get_sample_rate	_AIL_p84:_get_sample_rate	59	59	1.000000
_AIL_p85:_DP_preformat	_AIL_p85:_DP_preformat	179	179	1.000000
_AIL_p86:_CB_set_vect	_AIL_p86:_CB_set_vect	26	26	1.000000
_AIL_p87:_CB_play_VOC	_AIL_p87:_CB_play_VOC	31	31	1.000000
