name,type,wzd_offset,mgc_offset,init,wzd_file,mgc_file,xrefs
AIL_dig_driver,int16_t,82AA,-,0,MoX\src\SOUND.c:69,-,N/A
AIL_mdi_driver,int16_t,82A8,-,0,MoX\src\SOUND.c:64,-,N/A
AI_ContBalances,int16_t *,90F2,-,,out\build\MSVC-debug\_CPack_Packages\win64-Source\TGZ\ReMoM-0.0.1-Source\MoX\src\MOM_DAT.h:2873,-,N/A
AI_Cont_Own_Str,int16_t *,9102,-,,out\build\MSVC-debug\_CPack_Packages\win64-Source\TGZ\ReMoM-0.0.1-Source\MoX\src\MOM_DAT.h:2891,-,N/A
AI_Dipl_Unset_0,int16_t,4C44,-,,MoM\src\DIPLOMAC.c:199,-,N/A
AI_Enemy_City_Values,int16_t *,9126,-,,out\build\MSVC-debug\_CPack_Packages\win64-Source\TGZ\ReMoM-0.0.1-Source\MoX\src\MOM_DAT.h:2924,-,N/A
AI_Enemy_Stack_Count,int16_t,910A,-,,out\build\MSVC-debug\_CPack_Packages\win64-Source\TGZ\ReMoM-0.0.1-Source\MoX\src\MOM_DAT.c:1000,-,N/A
AI_Eval_After_Spell,int16_t,C9EE,-,,MoX\src\MOM_DAT.h:4649,-,N/A
AI_MainWarConts,int16_t *,8FB0,-,,out\build\MSVC-debug\_CPack_Packages\win64-Source\TGZ\ReMoM-0.0.1-Source\MoX\src\MOM_DAT.h:2821,-,N/A
AI_NME_Garrison_Strs,int16_t *,9122,-,,out\build\MSVC-debug\_CPack_Packages\win64-Source\TGZ\ReMoM-0.0.1-Source\MoX\src\MOM_DAT.h:2920,-,N/A
AI_NewColConts,uint8_t *,8FAC,-,,out\build\MSVC-debug\_CPack_Packages\win64-Source\TGZ\ReMoM-0.0.1-Source\MoX\src\MOM_DAT.h:2819,-,N/A
AI_NewColTgtXs,uint8_t *,8F9E,-,,out\build\MSVC-debug\_CPack_Packages\win64-Source\TGZ\ReMoM-0.0.1-Source\MoX\src\MOM_DAT.c:879,-,N/A
AI_NewColTgtYs,uint8_t *,8F9A,-,,out\build\MSVC-debug\_CPack_Packages\win64-Source\TGZ\ReMoM-0.0.1-Source\MoX\src\MOM_DAT.c:877,-,N/A
AI_OVL_Spell_Cats,SAMB_ptr,9120,-,,MoX\src\MOM_DAT.h:2975,-,N/A
AI_Own_City_Values,int16_t *,9128,-,,out\build\MSVC-debug\_CPack_Packages\win64-Source\TGZ\ReMoM-0.0.1-Source\MoX\src\MOM_DAT.h:2926,-,N/A
AI_Own_Garr_Strs,int16_t *,9124,-,,out\build\MSVC-debug\_CPack_Packages\win64-Source\TGZ\ReMoM-0.0.1-Source\MoX\src\MOM_DAT.h:2922,-,N/A
AI_Own_Stack_Count,int16_t,910C,-,,out\build\MSVC-debug\_CPack_Packages\win64-Source\TGZ\ReMoM-0.0.1-Source\MoX\src\MOM_DAT.c:1003,-,N/A
AI_SCircle_Reevals,int16_t *,8F98,-,,MoX\src\MOM_DAT.h:2861,-,N/A
AI_SeekTransport_Ps,int16_t,9098,-,,out\build\MSVC-debug\_CPack_Packages\win64-Source\TGZ\ReMoM-0.0.1-Source\MoX\src\MOM_DAT.c:944,-,N/A
AI_SeekTransport_Xs,int16_t,90D4,-,,out\build\MSVC-debug\_CPack_Packages\win64-Source\TGZ\ReMoM-0.0.1-Source\MoX\src\MOM_DAT.c:948,-,N/A
AI_SeekTransport_Ys,int16_t,90B6,-,,out\build\MSVC-debug\_CPack_Packages\win64-Source\TGZ\ReMoM-0.0.1-Source\MoX\src\MOM_DAT.c:946,-,N/A
ATKR_FloatingIsland,int16_t,D382,-,,MoM\src\Combat.c:1448,-,N/A
BLASTER__base,int16_t,82C5,-,,MoX\src\SOUND.c:102,-,N/A
BLASTER__tokens,char,82C0,-,,MoX\src\SOUND.c:99,-,N/A
BLASTER__type,int16_t,E8B2,-,,MoX\src\SOUND.c:167,-,N/A
CMB_ATKR_First_CE,int16_t,C43C,-,,MoM\src\Combat.c:787,-,N/A
CMB_BaseAnimFrame,int16_t,7094,-,0,MoM\src\Combat.c:574,-,N/A
CMB_Buildings_Lost,int16_t,C978,-,,MoM\src\Combat.c:1119,-,N/A
CMB_CNodeAnimStage,int16_t,707C,-,0,MoM\src\Combat.c:540,-,N/A
CMB_CentralStructure,int16_t,C7B6,-,,MoM\src\Combat.c:1016,-,N/A
CMB_ChasmAnimStage,int16_t,708A,-,0,MoM\src\Combat.c:562,-,N/A
CMB_Chasm_Anim,int16_t,708C,-,0,MoM\src\Combat.c:564,-,N/A
CMB_Chasm_Anim_Y,int16_t,D14A,-,,MoM\src\Combat.h:1308,-,N/A
CMB_CloudofShadow,int16_t,C7B5,-,,MoM\src\Combat.c:1014,-,N/A
CMB_CurseAnimStage,int16_t,7090,-,0,MoM\src\Combat.c:567,-,N/A
CMB_DEFR_First_CE,int16_t,C43A,-,,MoM\src\Combat.c:785,-,N/A
CMB_Damage_GFX,SAMB_ptr,D18C,-,,MoM\src\Combat.c:1420,-,N/A
CMB_Gold_Reward,int16_t,C976,-,,MoM\src\Combat.c:1117,-,N/A
CMB_HeavenlyLight,int16_t,C7B4,-,,MoM\src\Combat.c:1012,-,N/A
CMB_IDK_4PR,int16_t *,C8A2,-,,MoM\src\Combat.c:1095,-,N/A
CMB_LostBuildings,int16_t *,C97A,-,,MoM\src\Combat.c:1121,-,N/A
CMB_MoveAnimDir,int16_t,7092,-,0,MoM\src\Combat.c:569,-,N/A
CMB_MoveAnimFrame,int16_t,7092,-,0,MoM\src\Combat.c:571,-,N/A
CMB_MudAnimStage,int16_t,707A,-,0,MoM\src\Combat.c:538,-,N/A
CMB_NearDispel_UCs,int16_t *,C8A8,-,,MoM\src\Combat.c:1099,-,N/A
CMB_NearDispel_UEs,int16_t *,C8AA,-,,MoM\src\Combat.c:1101,-,N/A
CMB_Path_Length,int16_t,D142,-,,MoM\src\Combat.h:1291,-,N/A
CMB_PerSideInfo,int16_t,C7C0,-,,MoM\src\Combat.c:1031,-,N/A
CMB_Population_Lost,int16_t,C97C,-,,MoM\src\Combat.c:1123,-,N/A
CMB_ProjectileFrame,int16_t,7086,-,0,MoM\src\Combat.c:557,-,N/A
CMB_RangedAtx_GFX,SAMB_ptr,D18C,-,,MoM\src\Combat.c:1413,-,N/A
CMB_RoadAnimStage,int16_t,7074,-,0,MoM\src\Combat.c:532,-,N/A
CMB_ScrollMsg_Type,int16_t,C97E,-,,MoM\src\Combat.c:1125,-,N/A
CMB_Scroll_MinHeight,int16_t,C9D2,-,,MoX\src\MOM_DAT.c:3402,-,N/A
CMB_SliderLimit,int16_t,CA10,-,,MoX\src\MOM_DAT.c:3444,-,N/A
CMB_SpellBookPage,int16_t,944C,-,,MoM\src\Spellbook.c:188,-,N/A
CMB_TargetRows,int8_t *,C524,-,,MoM\src\Combat.h:1153,-,N/A
CMB_UnitATKAnimFrame,int16_t,7096,-,1,MoM\src\Combat.c:577,-,N/A
CMB_UnitDEFAnimFrame,int16_t,7098,-,3,MoM\src\Combat.c:580,-,N/A
CMB_VortexAnimStage,int16_t,7086,-,0,MoM\src\Combat.c:559,-,N/A
CMB_WaterAnimStage,int16_t,7076,-,0,MoM\src\Combat.c:535,-,N/A
COL_Available,uint8_t,-,2EFE,,-,MoM\src\NewGame.c:834,N/A
COL_Available_2,uint8_t,-,2F2F,,-,MoM\src\NewGame.c:857,N/A
COL_Available_3,uint8_t,-,2F98,,-,MoM\src\NewGame.c:898,N/A
COL_Banners,uint8_t,00B9,-,,MoX\src\MOM_DAT.c:226,-,N/A
COL_Banners2,uint8_t,00C8,-,,MoX\src\MOM_DAT.c:238,-,N/A
COL_CMBUI_Banner,uint8_t,56E8,-,,MoM\src\Combat.c:219,-,N/A
COL_ConfirmShadows,uint8_t,6F78,-,,MoX\src\GENDRAW.c:43,-,N/A
COL_DeselectItemName,uint8_t,5BCC,-,,MoM\src\ItemMake.c:85,-,N/A
COL_Dialog_Text,uint8_t,6F7D,-,,MoX\src\GENDRAW.c:45,-,N/A
COL_HLP_Text,uint8_t,711D,-,,MoX\src\TEXTBOX.c:33,-,N/A
COL_HLP_Titles,uint8_t,7118,-,,MoX\src\TEXTBOX.c:28,-,N/A
COL_ListSel_Shadows,uint8_t,6F82,-,,MoX\src\GENDRAW.c:53,-,N/A
COL_ListSel_Titles,uint8_t,6F82,-,,MoX\src\GENDRAW.c:55,-,N/A
COL_MinimapNeutral,uint8_t,7010,-,NEUTRAL_PLAYER_BANNER_COLOR,MoM\src\MainScr_Maps.c:156,-,N/A
COL_NEWG_5Font3,uint8_t,-,2F93,,-,MoM\src\NewGame.c:895,N/A
COL_NEWG_5Shadow3,uint8_t,-,2F8E,,-,MoM\src\NewGame.c:892,N/A
COL_NEWG_Font,uint8_t,-,2EAB,,-,MoM\src\NewGame.c:800,N/A
COL_NEWG_FontShadow,uint8_t,-,2EA3,,-,MoM\src\NewGame.c:798,N/A
COL_NEWG_Highlight,uint8_t,-,2EFC,,-,MoM\src\NewGame.c:832,N/A
COL_NEWG_Highlight2,uint8_t,-,2F2D,,-,MoM\src\NewGame.c:854,N/A
